,Participant ID,Referent,Speech,Feature,Adjectives,Adjectives_Spacy
289,4C-R127,8,CHI:        I don't know.,I,,
290,4C-R135,Clown,,,,
291,4C-R136,1,CHI:        a clown.,L,,
292,4C-R139,2,CHI:        &=shrugs I don't know.,I,,
293,4C-R203,Pilot,,,,
294,4C-R205,1,CHI:        policeman.,L,,
295,4C-R207,2,CHI:        a policeman.,L,,
296,4C-R210,3,CHI:        &=shrugs you guess.,I,,
297,4C-R275,Footbal Player,,,,
298,4C-R277,1,CHI:        baseball player.,L,,
299,4C-R279,2,"CHI:        um it, it, it ha- it thr- it plays baseball.",P,,
300,4C-R289,3,"CHI:        um and, like, um it throws, it throws a football.",P,,
301,4C-R291,4,CHI:        and it ha- it's supposed to have these on [= football gear].,P,,
302,4C-R293,6,CHI:        and this on.,P,,
303,4C-R296,9,CHI:        and um tell me if it's a boy or a girl.,T,,
304,4C-R306,13,CHI:        um it's a girl and I want to turn the page.,T,,
305,5C-R2,Race Car Driver,,,,
306,5C-R4,1,CHI:        race.,L,,
307,5C-R11,2,CHI:        um that's a race.,L,,
308,5C-R15,3,CHI:        um people xxx trying to race fast.,F+P+L,,
309,5C-R16,4,CHI:        swhoo.,P,,
310,5C-R18,Ballerina,,,,
311,5C-R20,1,CHI:        I don't know anything about this one.,I,,
312,5C-R66,Old Woman,,,,
313,5C-R67,1,CHI:        old lady <who's this old> [?] !,P+L,old,"['old', 'old']"
314,5C-R69,2,"CHI:        you know, I don't know about old ladies, like that.",I+L,old,['old']
315,5C-R79,Firefighter,,,,
316,5C-R81,1,CHI:        a fireman!,L,,
317,5C-R83,2,CHI:        um they take out fire.,P,,
318,5C-R85,3,CHI:        and firemans <take out hot lava> [?].,F+L,,['hot']
319,5C-R115,Judge,,,,
320,5C-R117,1,CHI:        I I think that's a news guy.,L,,
321,5C-R119,2,CHI:        um I think he's from the news.,F,,
322,5C-R126,3,CHI:        you know I don't know much more about this guy.,I,,['more']
323,6C-R2,Old Woman,,,,
324,6C-R15,6,"CHI: this is a person, Zorg.",L,,
325,6C-R16,7,"CHI: and, persons, are humans.",T+L,,
326,6C-R18,8,CHI: I said persons are humans.,L,,
327,6C-R52,Ballerina,,,,
328,6C-R55,2,CHI: zorg this is a ballet girl.,L,,
329,6C-R56,3,CHI: she did ballet.,P,,
330,6C-R58,4,CHI: she wears tutus and and she picks and she and she has pretty she has pretty things when she does ballet.,P+I,pretty,"['pretty', 'pretty']"
331,6C-R61,5,CHI: zorg this is a ballet girl.,L,,
332,6C-R62,6,CHI: she does her tutus and she look pretty <when her> [?] hair done and when she does ballet.,P+I,pretty,['pretty']
333,6C-R120,Judge,,,,
334,6C-R123,2,CHI: a ⌊police⌋?,T,,
335,6C-R125,3,CHI: or is it a judge.,L,,
336,6C-R127,4,CHI: I think it's a judge.,L,,
337,6C-R129,5,CHI: judges tell the police what's supposed to happen to people who've been bad.,F+L,,['bad']
338,6C-R131,6,"CHI: well, if if they say if they say yes then they have to go to jail.",F,,
339,6C-R132,7,CHI: if they say no then they have-then they don't need to go to jail.,F,,
340,6C-R134,8,"CHI: the police have to tell them, what-the judge has to tell them what he's supposed to do with the people.",F+T+L,,
341,6C-R138,9,"CHI: zorg this is, a judge.",L,,
342,6C-R139,10,CHI: he tells polices with bad guys have to go in jail or they don't need to.,F,,['bad']
343,6C-R201,Firefighter,,,,
344,6C-R202,1,CHI: a fireman.,L,,
345,6C-R204,2,CHI: a fireman fights fires.,P+L,,
346,6C-R206,3,"CHI: and, they, when the when the house is on fire they they they they fight it.",F,,
347,6C-R210,4,CHI: zorg this is a fireman.,L,,
348,6C-R211,5,CHI: he fights fires in houses and +...,F,,
349,6C-R212,6,CHI: and that's a good thing to do.,P,,['good']
